,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,JNJ,PG,XOM,JPM,UNH,SH,VOO
2023-01-26,141.971965371637,242.679230303354,96.8475192323198,99.22,19.7833094855009,146.405107336218,160.27,155.176892704539,132.588466164764,107.109766863981,130.92756692147,469.254362222466,52.9974410818665,357.803031485086
2023-01-27,143.91476039652,242.835797548711,98.6847619577074,102.24,20.3457780866693,150.818132974865,177.9,154.570481731805,132.043646395897,105.154213206053,131.245579300048,463.127604691012,52.8927720079721,358.8230987597
2023-01-30,141.025222618395,237.502725753738,96.2715188103064,100.55,19.1439135623254,146.166565409804,166.66,148.846329671001,132.456957944692,103.289615532215,130.132535975026,462.879866439351,53.5556761426366,354.338652061869
2023-01-31,142.297408193064,242.493306699493,98.1584167444882,103.13,19.518559611061,148.064961574178,173.22,150.151032066882,133.743859812533,105.518037142412,130.908860310965,475.64791479417,52.7881029340777,359.371625501709
2023-02-01,143.421665212539,247.32732039989,99.7374523841456,105.15,20.9232325297871,152.189749051742,181.41,151.529238823095,134.504728800089,104.362896144473,130.562788016631,473.561196443643,52.2647575646057,363.307545457531
2023-02-02,148.737231295848,258.923082009143,106.997043909866,112.91,21.6885095253377,187.623164371065,188.27,152.098897615663,133.546597482426,101.097576315654,129.954823175232,448.625388574569,51.5320740473448,368.513737868532
2023-02-03,152.366411849944,252.807173987385,104.057455549246,103.39,21.0800843421911,185.396773057873,189.98,151.244409426811,133.959909031222,101.797937393145,131.965783804474,449.759267495631,52.0554194168169,364.577817912711
2023-02-06,149.634664530692,251.261072439485,102.190419698582,102.18,21.0690947247615,184.92962845198,194.76,150.095903796634,132.823302272034,101.625121023374,132.742108140413,452.827410458505,52.3694266385001,362.470320430254
2023-02-07,152.514340405138,261.819576048248,106.897733492278,102.11,22.15207156964,190.455849747224,196.81,150.1326559768,131.527006959902,104.526616915835,134.360229949058,454.390067122826,51.7065225038355,367.147232651596
2023-02-08,149.822040700605,261.007383462958,98.6847619577074,100.05,22.1840413657987,182.315606508367,201.29,150.325604922669,130.164957537735,103.617057074938,133.415546118578,460.431069105628,52.2647575646057,363.124703210194
2023-02-09,148.786540814246,257.964107631332,94.3548277508481,98.24,22.3159167749537,176.839081447793,207.32,148.295046968516,128.737154005532,104.008167806523,131.33911235257,462.822696073583,52.7881029340777,360.016385005475
2023-02-10,149.151431250392,257.455264083921,93.9178619134586,97.61,21.2449286036348,173.091985353716,196.89,148.984150346622,129.87376076472,108.392246239645,131.919017278212,470.940888012617,52.7183235514814,360.892103137455
2023-02-13,151.956477702621,265.498906314137,93.9575860804941,99.54,21.7674349596047,178.33990773481,194.64,149.535433049107,131.573974181356,107.973848712833,133.350072981812,471.989011385028,52.090309108115,365.058981721491
2023-02-14,151.314477634329,266.330669805096,94.027103372806,99.7,22.9493183613494,178.38960396948,209.25,148.883081851166,130.831892082382,106.708959822988,133.939331212705,469.587856022778,52.1251987994131,364.924255855032
2023-02-15,153.418262473501,264.207226539942,96.2715188103064,101.16,22.7425137424473,176.083698680817,214.24,146.429873825107,130.531301865077,106.388154669766,134.500529527842,468.082369724225,51.9507503429225,366.146411929334
2023-02-16,151.818200764835,257.17334188863,94.8513798387907,98.15,21.9812329714165,171.39237412802,202.04,145.391624735427,128.821695004149,106.076515378065,132.64857508789,464.366295949315,52.7183235514814,361.05569883244
2023-02-17,150.672477566037,253.160986487812,93.6993789947639,97.2,21.3678125076201,171.829700993112,208.31,148.405303509013,131.517613515611,101.997707001392,133.041413908486,475.543102456929,52.8927720079721,360.122241043406
2023-02-21,146.652569446117,247.873310299447,91.1570323044979,94.58,20.6355043643582,171.0345612384,197.37,146.193889609227,131.423679072703,101.896882524665,130.60020123764,468.139540089993,53.904573055618,352.972146844934
2023-02-22,147.077277183603,246.73533175056,91.017997719874,95.79,20.7344109212244,170.080393532747,200.86,145.990328497113,131.977892285861,100.576998465697,129.599397575646,465.83366867069,53.9743524382143,352.529476140856
2023-02-23,147.561246465853,249.93344387933,90.2632385462013,95.82,23.6416642594128,170.994804250665,202.07,145.944064607996,131.555187292775,101.502750479279,130.637614458649,468.501619073189,53.7301245991273,354.300158957167
2023-02-24,144.904353875538,244.488805132498,88.5153751966434,93.5,23.2640210422873,169.354828506573,196.88,144.315575711084,130.813105193801,101.5119163408,131.816130920437,461.488720872334,54.3232493511956,350.508588143979
2023-02-27,146.099461694973,245.410960163493,89.2502722867984,93.76,23.478818110229,168.509992517192,207.63,144.000981265089,130.700383862311,101.328599110387,132.966587466468,460.526353048575,54.2185802773012,351.721120942105
2023-02-28,145.595738564467,244.685008330582,89.4389620802166,94.23,23.19408711319,173.877185861493,205.71,141.808072920951,129.216219664363,100.741983973068,134.07963079149,453.49439805913,54.3930287337919,350.393108829872
2023-03-01,143.521584497678,241.594807960759,89.7368933329822,92.17,22.6765760378698,172.366420327542,202.77,141.169631251138,129.310154107271,101.640238402088,133.331366371307,452.808353669916,54.6023668815807,349.113213098517
2023-03-02,144.114199945332,246.342925354392,91.3655841814338,92.13,23.2919946139262,173.469676737204,190.9,141.058597917258,131.442465961285,102.10769733964,131.947077193969,455.171395454987,54.2534699685993,351.721120942105
2023-03-03,149.171185098647,250.443572194348,93.0042060716443,94.9,23.8674509447841,184.124549450335,197.79,142.511284035527,132.400597278947,103.400083814046,134.36958325431,455.990837364326,53.381227686146,357.292997847779
2023-03-06,151.936723854366,251.993577459212,94.4740002519543,93.75,23.531768085117,183.776675807649,193.81,143.936211820325,131.836990621499,104.316669966108,133.583905613119,458.106140897736,53.3114483035497,357.726045275681
2023-03-07,149.734169773918,249.325213965269,93.2127579485802,93.55,23.2700153790671,183.389045177227,187.71,142.57605348029,129.216219664363,102.300180431572,129.655517407159,451.531548834434,54.1488008947049,352.19266147471
2023-03-08,150.988539138119,248.88375676958,93.6000685771754,93.92,24.1623257420655,183.846250536186,182.0,141.53048958625,129.235006552945,100.806145003712,128.888546376472,448.406235505792,54.0790215121087,352.741188216719
2023-03-09,148.736600437034,247.5299547028,91.683377517717,92.25,23.417901083125,180.58617754187,172.92,139.93901180063,128.286268679573,100.02704677446,121.910980658268,442.984579152141,55.1257122510527,346.28396990289
2023-03-10,146.672323294372,243.870765058533,90.0050314604711,90.73,22.9472648222378,178.419421710281,173.44,140.281364580095,128.868662225603,98.7896554691774,125.006924696774,440.192759623812,55.9281751509098,341.318359396279
2023-03-13,148.618077347503,249.099580287472,90.481721464896,92.43,22.948264049968,179.800977034092,174.48,141.623017364483,129.76103943323,97.6530886406212,122.762131436226,443.396213113134,56.1026236074005,340.740962825742
2023-03-14,150.711985262547,255.839160141659,93.3219994079275,94.88,24.0444168699111,192.841269011358,183.26,142.418756257293,131.367318406958,98.0197231014458,125.914195306246,444.256842408773,55.1257122510527,346.399449216997
2023-03-15,151.10706222765,260.400884497112,95.4472423443218,96.2,24.2092894453812,196.548608117699,180.45,142.816625703698,133.227220376539,93.1434847724792,119.965493165793,445.069658965765,55.5094988553322,344.263081906013
2023-03-16,153.931862528134,270.956616554032,99.6282109247983,100.04,25.5212754550306,203.684987416233,184.13,142.52053681335,134.222925471364,92.6026989427629,122.294466173612,451.371377919387,54.5674771902826,350.152526925482
2023-03-17,153.092323977291,274.125298203089,100.919246353449,98.95,25.7051333573729,194.421609273846,180.13,140.993828472494,134.260499248528,91.5119614218099,117.673933378984,448.961615891599,55.2303813249471,346.322463007592
2023-03-20,155.462785767907,267.061983072065,100.522004683095,97.71,25.8799982101441,196.608243599302,183.25,142.390997923823,136.327056992505,93.9042512786901,118.917922977537,456.095276497672,54.7070359554751,349.450027764663
2023-03-21,157.31964750389,268.582557857216,104.19649013387,100.61,26.1787673014504,200.931816015545,197.58,142.390997923823,135.340745341971,98.1113817166519,122.107400068566,459.097916484678,54.0092421295124,354.021083948074
2023-03-22,155.887493505393,267.12084403149,102.657178661248,98.7,26.4475595608531,198.596092986081,191.15,139.763209021986,135.256204343353,95.8657456441015,118.955336198547,454.718269624649,54.8886088869288,348.150885480957
2023-03-23,156.973955159425,272.388899900046,104.871800973472,98.71,27.1700012097309,203.03893636553,192.22,139.837231244573,135.068335457537,94.7841739846691,118.637323819969,449.353680348501,54.8182839556195,348.978487232058
2023-03-24,158.277709144264,275.243656432168,104.71290430533,98.13,26.7583193849209,204.758426085093,190.41,141.243653473725,137.820614634744,94.8941643229164,116.832135906278,455.167709367928,54.5018217647276,351.295194738573
2023-03-27,156.331955091133,271.133199432308,101.753453861192,98.04,26.5105109078507,201.60768480705,191.81,141.845084032244,137.097319424352,96.9748148880958,120.180619186596,460.819175075956,54.3963343677636,351.874953559244
2023-03-28,155.709708871096,270.005031043325,100.333314889677,97.24,26.3896043525061,199.460807469329,189.19,140.475672914386,137.482450640275,98.1847086088168,120.545398091435,451.906880592229,54.5018217647276,351.256544150528
2023-03-29,158.791309198897,275.184795472743,100.690832392995,100.25,26.9631610695957,204.102435787456,193.88,141.854336810068,137.905155633361,99.8712271286098,120.788584027994,446.178914502366,53.7634099859796,356.25213265531
2023-03-30,160.36174013518,278.65759207883,100.194280305053,102.0,27.3618529339142,206.577308273995,195.28,141.965370143948,138.506336067973,100.357017789202,120.423805123155,449.49711856444,53.4821102607423,358.37791499777
2023-03-31,162.870478863582,282.826910038116,103.014696164567,103.29,27.755548659582,210.652399516891,207.46,143.418056262217,139.671123160033,100.512837435053,121.882920742511,451.916443139959,52.7436984819944,363.383166149563
2023-04-03,164.124848227784,281.777222928366,103.640351795374,102.41,27.9434034728448,211.77553442042,194.77,145.12982015954,140.44138559188,106.44314983889,121.742621163727,472.571546235291,52.4975612224118,364.822900554229
