,NVDA,MSFT,AAPL,AVGO,ORCL,PLTR,BRK.B,JPM,V,BAC,MA,GS,LLY,JNJ,ABBV,UNH,ABT,AMZN,TSLA,HD,MCD,GE,CAT,RTX,GEV,WMT,COST,PG,KO,GOOGL,META,NFLX,XOM,CVX,COP,LIN,SCCO,NEE,CEG,WELL,PLD,SPY
2012-03-05,0.340672789356275,25.1137956675969,16.0051511657369,2.57631005010417,24.85375873173,,79.17,27.7977450368414,26.3486295449428,6.27236761717303,38.6135677833783,92.2074512866698,29.025497234186,44.2030060520762,,44.4799655077239,20.983796038358,9.013,2.25133333333333,34.5555782887503,69.5832906282916,70.5323614474099,77.5598085369099,30.0545106159132,,14.9557280672282,64.0505177840506,45.0877056701199,22.6216483145662,15.2975781592246,,15.82998417,50.760908698756,62.8299107244923,37.0644215462915,,18.368922637461,10.3375194584411,,31.6204284579064,22.8575434778516,107.030457768899
2012-03-06,0.337463220681317,24.9203088770761,15.9180948629748,2.56613562395425,24.6113030827267,,78.47,27.0546370012031,26.0312854175949,6.06774834735308,37.7555295930863,88.3521958000148,28.6620294691783,43.8216521252674,,44.0112449409638,20.6431024225118,9.0545,2.20733333333333,34.0378644127214,69.5484780954577,68.9234004170446,74.6290355010888,29.3689112622064,,14.8462037960288,64.0139717850868,45.0136257952325,22.4680707512577,15.0662155200725,,15.30427041,50.0900082849694,62.559785788154,36.5339740486589,,18.0402773762157,10.2839661323697,,31.0236000441818,22.3403144696496,105.465112865514
2012-03-07,0.339526514829504,25.145385347682,15.9310032113154,2.59811239185399,24.8373210606112,,78.82,27.4881166886588,26.2126249189366,6.31171747675379,38.069897033495,90.4741408561777,28.8252190779573,43.7876026675166,,43.9546752173893,20.6101320725912,9.1885,2.208,34.7715972088568,69.750390785894,70.2330198603652,76.2846404612281,29.7947045450348,,15.0715468367724,64.2405569786627,44.838527909135,22.4778735744476,15.1120397672242,,15.02712783,50.0725065350446,62.9103734714867,36.8063660069027,,18.0989640300095,10.3219717186139,,31.1039423306447,22.6851338084509,106.200824970105
2012-03-08,0.340558161903598,25.2796414880433,16.2702225979401,2.6468042884286,24.7140385272196,,78.87,27.8252675566799,26.7407762165941,6.34319736441839,38.5802818190997,91.0726381797109,29.0700034911257,44.1621467027753,,44.940604685402,21.0607268548394,9.382,2.20466666666667,35.087102311195,67.5084636713943,71.2058800182605,77.693665959219,30.1411126395393,,15.1489691664134,64.5402341701663,45.0540329997166,22.6347187454861,15.1205072911545,,15.43855599,49.4891148708823,63.2379717985354,36.9019421326022,,18.3337106451847,10.3236992452614,,30.9489964924662,22.4663061511347,107.257432779889
2012-03-09,0.339755769734858,25.2638466480008,16.3656843368309,2.67224035380339,24.7633515405762,,79.41,28.2312247242971,26.5594367152525,6.33532739250224,38.7892437059596,91.1659104898719,29.344458742254,44.0872378957235,,45.0779882997973,21.2292419766559,9.216,2.316,35.2925474941129,67.4249135925931,71.2432977166411,77.6513951942793,30.1483294748415,,15.2275400287454,65.3003909486144,45.0742366019586,22.7131413310053,14.9489154091568,,15.58998441,49.1799172888763,62.9735942012681,36.8732692948924,,18.4217406258754,10.3668874114481,,31.190023351855,22.8273717857065,107.672249179286
2012-03-12,0.334368279459036,25.3033337481071,16.570716939543,2.65988569347849,24.41816044708,,79.54,27.894073856276,26.4143651141792,6.28810756100533,38.8206804500005,90.9327297144693,29.5224837700128,44.3323939915292,,44.4638027295598,21.3318163986311,9.1695,2.40066666666667,35.6520765642193,67.2995884743912,71.5800570020664,76.7496188755651,30.3070998514893,,15.3796126655172,65.3661737467494,45.5995302602512,22.9222682257232,15.0709473716805,,15.1714134,49.9091568690791,63.2207297813223,36.9449513891671,,18.5625885949805,10.4981794366555,,31.2703656383179,22.7270757761032,107.680075903803
2012-03-13,0.339068005018796,25.8008712094463,17.0540295169463,2.73474040015289,24.7633515405762,,80.76,29.8550533947661,26.5821041529202,6.68160615681292,39.1313494499338,96.8011125620994,29.7969390211411,44.4890214971829,,44.714325791104,21.5882524535691,9.2295,2.406,36.0556296020937,67.3831385531925,73.3012711275735,79.8212944611853,31.2380716054701,,15.4607180717955,65.7681797353518,45.7274864077841,23.1215922972512,15.385490981206,,15.19284195,50.6733999491317,63.9046631307748,37.1599976719911,,18.955789175399,10.5223648097201,,31.6605996011378,23.3489110356435,109.621103584
2012-03-14,0.329324671541244,25.8798454096588,17.6988465456807,2.69694967445319,24.5250053093526,,80.71,29.9857853639987,26.4642334770481,6.95705517387824,38.964919628541,93.5598997840044,29.8636984065507,44.3187742084289,,45.0779882997973,21.6102326868495,9.113,2.35266666666667,36.2977614248184,67.7382263880977,74.0496250951853,79.09564632972,31.3246736290962,,15.480994423365,66.4406261162867,45.6938137373807,23.1117183076581,15.3409119581616,,15.03569925,50.1833509512354,63.6172961772234,37.0405275148666,,18.4980332758073,10.3755250446854,,31.3105367815494,23.2887334298816,109.503702716246
2012-03-15,0.334253652006359,25.9430247698289,17.5781684984036,2.75363576300274,24.7058196916602,,81.34,30.7564159194755,26.5209020712174,7.27185405052431,38.7920175363162,95.6507540701136,29.8785338255306,44.3119643168788,,45.0214185762228,21.6541931534103,9.2215,2.33333333333333,36.0996535698619,68.2604143806054,75.4340799352671,79.9269713735346,31.3535409703049,,15.519012582558,66.8499413046818,45.5793266580092,23.1479229361663,15.4689209964008,,15.73855569,50.2241883677268,63.2379717985354,36.6199925617885,,18.5097706065661,10.4083480509873,,31.2474106993285,23.4024022407653,110.137667402116
2012-03-16,0.334712161817067,25.7455892692975,17.5784686925511,2.76384521763251,24.4428169537583,,81.07,30.6669677300005,26.4483662706807,7.71257247782882,38.8493433636848,95.5497090674392,29.819192149611,44.3460137746295,,44.9244419072379,21.7677576920257,9.2525,2.35466666666667,35.9895936504415,67.9958391310682,75.5837507287894,80.018558030904,30.8447540815015,,15.4201653686563,66.1044029258192,45.2897416925402,23.0919703284718,15.5662975215983,,15.70855572,50.4283754501835,63.3816552753112,36.8828269074623,,18.6975678987063,10.3928003111601,,31.4540051502332,23.576248657411,110.289419763775
