,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA
2001-05-02,0.399108119042073,32.95,0.8555,,27.0457644734943,41.8805099381645,14.5548729414467,,270.06116597964,,13.09233318688,18.3381296772654,24.0656952919361,129.821385378735,,,69.034049389883,,18.1745172713865,24.177967275179,11.8611275763365,19.6220783742835,,,
2001-05-03,0.37464229602445,32.61,0.8375,,26.5578899062111,41.8805099381645,14.5133691155578,,272.943241664008,,12.215146863359,18.2783314283178,23.842365639627,128.234973337447,,,67.625191239069,,17.3096059923474,23.9000596053493,11.6566683664858,19.1588162796939,,,
2001-05-04,0.386499964848942,30.99,0.878,,27.4273074043184,42.2077014220564,14.6249106476344,,271.765839445065,,12.8566711895161,18.6072217975296,23.8038605271599,132.01592203585,,,68.4705061295574,,17.5829155606477,24.6841562452258,11.6766156064713,19.1694659830178,,,
2001-05-07,0.37464229602445,30.01,0.846,,27.0395096713497,42.3320341859353,14.5860008108635,,271.070101770235,,12.601370692372,18.7766501695478,23.8654687071072,132.095242637914,,,67.6322355298231,,17.7423461421561,23.9993123445742,11.6741222014731,19.1694659830178,,,
2001-05-08,0.368788510149068,29.75,0.809,,25.832332857431,42.2927712078683,14.4511133767243,,266.521047742502,,13.3410875174307,18.696919170951,23.5343247398902,130.826113004884,,,67.0968694325138,,17.924552521023,23.2946178960776,11.6117870765186,19.2493387579471,,,
2001-05-09,0.359932782799131,28.15,0.7505,,26.0199769217707,42.6461380104716,14.3655117358282,,264.647907848729,,12.5228166932507,19.021822990233,22.9875521428574,130.693912001443,,,66.6812562780237,,17.0419903733868,23.0464860480154,11.4098212716661,19.3292115328763,,,
2001-05-10,0.345223269573812,28.7,0.731,,26.7955723877081,43.2694277198554,14.4692713005507,,265.450682088917,,12.3264316954475,18.9779709410048,23.934777909548,131.751520028969,,,66.5755919167126,,16.5181470341447,23.1755146090078,11.3724201966934,19.1694659830178,,,
2001-05-11,0.342971813467896,27.68,0.734,,26.4390486654626,43.3087933857112,13.8830297598687,,263.631060477824,,12.4704473605032,18.7407712201793,24.081097336923,129.583423572542,,,65.406239651537,,15.9088944548088,22.6544377280772,11.2926312367517,19.4996067860587,,,
2001-05-14,0.349576084711917,27.2,0.6665,,26.5266158954878,43.7877423202903,14.1113008022581,,268.126596222878,,12.1562313640181,18.8165156688462,23.8346646171335,131.487118022087,,,66.2867759957958,,15.6071151398106,23.2400288895039,11.4721563966206,19.9575440289863,,,
2001-05-15,0.347925016900912,29.14,0.677,,26.1700921732424,43.6893281556508,14.2799100949322,,270.534918943443,,12.2675161961065,19.0158431653382,23.9501799545348,132.597606450989,,,66.815097802351,,15.4875422036793,23.0613739588992,11.4447289416406,19.8723464023951,,,
2001-05-16,0.361733947683864,31.5,0.7065,,27.7087735008279,43.7943032645997,14.6690084626415,,277.171185995666,,13.09233318688,19.1155069135842,24.6894781139031,138.044287792744,,,70.4076860869265,,16.1480403270715,23.567562928946,12.0256923062163,20.1279392821687,,,
